sku,nombre,marca,precio_normal,precio_internet,precio_sbpay,precio_fonasa,descuento_internet_pct,url,imagen,categoria_1,categoria_2,categoria_3,tipo_venta,requiere_receta,bioequivalente,retiro_tienda,despacho_domicilio,stock_global,disponible_comuna,region,comuna,capturado_en
580301,Enjuague Bucal Fresh Care PHB 500ml,Phb,6799,6799,6119,,,https://salcobrand.cl/products/enjuague-bucal-fresh-care-phb-500ml?default_sku=580301,https://static.salcobrand.cl/spree/products/65695/small/580301-1.jpg?1641328701,Cuidado Personal,Cuidado Personal > Higiene Bucal,Cuidado Personal > Higiene Bucal > Enjuagues Bucales,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
580301,Enjuague Bucal Fresh Care PHB 500ml,Phb,6799,6799,6119,,,https://salcobrand.cl/products/enjuague-bucal-fresh-care-phb-500ml?default_sku=580301,https://static.salcobrand.cl/spree/products/65695/small/580301-1.jpg?1641328701,Cuidado Personal,Cuidado Personal > Higiene Bucal,Cuidado Personal > Higiene Bucal > Enjuagues Bucales,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
580301,Enjuague Bucal Fresh Care PHB 500ml,Phb,6799,6799,6119,,,https://salcobrand.cl/products/enjuague-bucal-fresh-care-phb-500ml?default_sku=580301,https://static.salcobrand.cl/spree/products/65695/small/580301-1.jpg?1641328701,Cuidado Personal,Cuidado Personal > Higiene Bucal,Cuidado Personal > Higiene Bucal > Enjuagues Bucales,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
5841218,Tintura Cor Intensan°70 Rubio Medio,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensan-70-rubio-medio?default_sku=5841218,https://static.salcobrand.cl/spree/products/71239/small/5841218-1.jpg?1650496989,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
5841218,Tintura Cor Intensan°70 Rubio Medio,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensan-70-rubio-medio?default_sku=5841218,https://static.salcobrand.cl/spree/products/71239/small/5841218-1.jpg?1650496989,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
5841218,Tintura Cor Intensan°70 Rubio Medio,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensan-70-rubio-medio?default_sku=5841218,https://static.salcobrand.cl/spree/products/71239/small/5841218-1.jpg?1650496989,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
5847771,Tintura Nutrisse N°6660 Manzana,Garnier,6999,6999,,,,https://salcobrand.cl/products/tintura-nutrisse-n-6660-manzana?default_sku=5847771,https://static.salcobrand.cl/spree/products/84820/small/5847771-1.jpg?1670371818,Cuidado Personal,Cuidado Personal > Cuidado Capilar,Cuidado Personal > Cuidado Capilar > Tinturas,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
5847771,Tintura Nutrisse N°6660 Manzana,Garnier,6999,6999,,,,https://salcobrand.cl/products/tintura-nutrisse-n-6660-manzana?default_sku=5847771,https://static.salcobrand.cl/spree/products/84820/small/5847771-1.jpg?1670371818,Cuidado Personal,Cuidado Personal > Cuidado Capilar,Cuidado Personal > Cuidado Capilar > Tinturas,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
5847771,Tintura Nutrisse N°6660 Manzana,Garnier,6999,6999,,,,https://salcobrand.cl/products/tintura-nutrisse-n-6660-manzana?default_sku=5847771,https://static.salcobrand.cl/spree/products/84820/small/5847771-1.jpg?1670371818,Cuidado Personal,Cuidado Personal > Cuidado Capilar,Cuidado Personal > Cuidado Capilar > Tinturas,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
8730264,Mini Compresa Frío / Calor,Nexcare,14999,14999,,,,https://salcobrand.cl/products/mini-compresa-frio-calor?default_sku=8730264,https://static.salcobrand.cl/spree/products/68953/small/8730264_01.jpg?1645640747,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Botiquín,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
8730264,Mini Compresa Frío / Calor,Nexcare,14999,14999,,,,https://salcobrand.cl/products/mini-compresa-frio-calor?default_sku=8730264,https://static.salcobrand.cl/spree/products/68953/small/8730264_01.jpg?1645640747,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Botiquín,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
8730264,Mini Compresa Frío / Calor,Nexcare,14999,14999,,,,https://salcobrand.cl/products/mini-compresa-frio-calor?default_sku=8730264,https://static.salcobrand.cl/spree/products/68953/small/8730264_01.jpg?1645640747,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Botiquín,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
5840214,Tintura Cor Intensa N°6.7 Chocolate,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-67-chocolate?default_sku=5840214,https://static.salcobrand.cl/spree/products/108393/small/5840214-1.jpg?1712172177,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
5840214,Tintura Cor Intensa N°6.7 Chocolate,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-67-chocolate?default_sku=5840214,https://static.salcobrand.cl/spree/products/108393/small/5840214-1.jpg?1712172177,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
5840214,Tintura Cor Intensa N°6.7 Chocolate,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-67-chocolate?default_sku=5840214,https://static.salcobrand.cl/spree/products/108393/small/5840214-1.jpg?1712172177,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
5841295,Tintura Cor Intensa N°6.0 Rubio Oscuro ,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-60-rubio-oscuro?default_sku=5841295,https://static.salcobrand.cl/spree/products/51644/small/5841295-1.jpg?1641329680,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
5841295,Tintura Cor Intensa N°6.0 Rubio Oscuro ,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-60-rubio-oscuro?default_sku=5841295,https://static.salcobrand.cl/spree/products/51644/small/5841295-1.jpg?1641329680,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
5841295,Tintura Cor Intensa N°6.0 Rubio Oscuro ,Garnier,4199,4199,,,,https://salcobrand.cl/products/tintura-cor-intensa-n-60-rubio-oscuro?default_sku=5841295,https://static.salcobrand.cl/spree/products/51644/small/5841295-1.jpg?1641329680,Belleza,Belleza > Tinturas,Belleza > Tinturas > Permanentes,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
